GivenName	Latitude	Pounds	Birthday
Lamar	4078.62	159.1	1962-09-24
David	3194.20	157.7	1962-09-25
Juan	3026.48	147.2	1962-09-26
Hilda	4198.00	118.4	1962-09-27
Staci	3830.26	178	1962-09-28
Vincent	3191.00	187	1962-09-29
Kristy	4327.74	174.7	1962-09-30
Millicent	2982.52	128.9	1962-10-01
John	3620.02	149.4	1962-10-02
Janet	3861.96	145.2	1962-10-03
Angela	3951.82	112	1962-10-04
Phyllis	4068.71	152.9	1962-10-05
Juan	3365.35	151.6	1962-10-06
Jessica	3767.34	138.8	1962-10-07
Harold	2792.75	162.6	1962-10-08
Charles	4206.33	150.9	1962-10-09
Maurice	4078.40	239.4	1962-10-10
George	4009.64	165.4	1962-10-11
Kimberly	3805.16	138.8	1962-10-12
Leigh	4764.82	127.8	1962-10-13
Barbara	3980.22	148.9	1962-10-14
Darrell	4073.05	186.8	1962-10-15
Mark	2973.28	203.7	1962-10-16
Frank	4424.62	199.3	1962-10-17
Kimberly	3712.92	188.5	1962-10-18
Robert	3472.45	143.4	1962-10-19
Bonnie	3287.96	102.7	1962-10-20
Albert	4071.92	181.5	1962-10-21
Elizabeth	4887.58	107.8	1962-10-22
Tracey	2163.90	151.1	1962-10-23
Nancy	3405.55	170.3	1962-10-24
Debra	4001.30	167.2	1962-10-25
Jeannie	4490.37	146.7	1962-10-26
Phillip	3811.52	184.4	1962-10-27
Michelle	4301.71	131.6	1962-10-28
Gerry	4805.69	198	1962-10-29
Ann	3027.54	115.7	1962-10-30
Rochelle	4111.49	228.4	1962-10-31
Marilyn	3222.18	197.8	1962-11-01
Lynn	3973.58	202.6	1962-11-02
Larry	3894.04	193.6	1962-11-03
Michael	3636.29	191.2	1962-11-04
Jessie	4040.68	177.8	1962-11-05
Don	4177.47	183.9	1962-11-06
Eric	3995.44	244	1962-11-07
Steve	2599.76	190.1	1962-11-08
Richard	3282.90	236.5	1962-11-09
Rachel	4667.53	120.1	1962-11-10
Jennifer	3893.30	203.1	1962-11-11
John	4298.70	194.7	1962-11-12
Brigid	3666.43	217.6	1962-11-13
Rafael	3771.66	183.9	1962-11-14
Terrance	3902.34	194.5	1962-11-15
Ernestina	2150.69	124.5	1962-11-16
Pamela	3822.32	152.9	1962-11-17
Barbara	3339.86	172.3	1962-11-18
Don	3432.96	205.5	1962-11-19
Sylvia	4065.51	141.2	1962-11-20
Thomas	4443.63	206.6	1962-11-21
John	3873.51	225.3	1962-11-22
John	2571.01	160.2	1962-11-23
Joseph	3480.51	193.8	1962-11-24
Amy	4172.88	203.7	1962-11-25
Donald	4706.55	246.2	1962-11-26
Kenneth	3278.40	236.7	1962-11-27
Louise	3533.80	125.8	1962-11-28
Ed	3353.60	183.5	1962-11-29
Briana	3408.69	207.5	1962-11-30
Michael	3894.52	148.1	1962-12-01
Edna	4261.16	127.2	1962-12-02
John	3927.28	150	1962-12-03
Matthew	4065.04	231.4	1962-12-04
Doug	3380.83	221.1	1962-12-05
Gerald	2591.20	203.7	1962-12-06
Amanda	6332.05	208.3	1962-12-07
John	4230.01	133.8	1962-12-08
Debra	4195.01	160.4	1962-12-09
Gerald	3785.77	174.2	1962-12-10
Marjorie	3906.94	226.2	1962-12-11
Carolyn	4190.58	215.6	1962-12-12
Ronald	3510.62	139.9	1962-12-13
Bernard	4126.08	157.3	1962-12-14
Aileen	4166.87	149.8	1962-12-15
Lillie	4067.79	128.3	1962-12-16
Neal	2627.22	213.2	1962-12-17
Candelaria	3881.33	98.8	1962-12-18
Thomas	3849.55	255	1962-12-19
Johnny	4129.41	210.1	1962-12-20
Michel	3392.60	194.7	1962-12-21
Melinda	4317.06	176.2	1962-12-22
Kyle	4183.67	151.4	1962-12-23
Christopher	4228.17	161.9	1962-12-24
Judy	4026.20	114	1962-12-25
William	2601.31	164.8	1962-12-26
Arnold	4171.60	224.8	1962-12-27
Christopher	3885.80	172.9	1962-12-28
James	3402.91	191	1962-12-29
Gordon	4447.47	176.4	1962-12-30
Garfield	4200.96	187.7	1962-12-31
Marcellus	4321.89	247.5	1963-01-01
Wendy	3403.72	163.5	1963-01-02
Eric	4010.11	200.2	1963-01-03
Clarence	3390.62	211	1963-01-04
Briana	4228.13	119	1963-01-05
Mandy	4083.11	147.4	1963-01-06
Carrie	4566.43	137.5	1963-01-07
Karen	4262.71	182.4	1963-01-08
Brent	3904.44	192.5	1963-01-09
Chester	4226.06	159.7	1963-01-10
Frank	4079.02	204.4	1963-01-11
David	3404.95	154.4	1963-01-12
Pilar	3619.54	126.7	1963-01-13
Tracy	3774.67	144.3	1963-01-14
Jennifer	4070.00	143	1963-01-15
Mark	4085.83	134.9	1963-01-16
Patricia	4106.57	160.4	1963-01-17
Oren	3891.89	224.4	1963-01-18
Allen	4066.57	230.1	1963-01-19
Richard	4310.76	141.9	1963-01-20
Candice	3569.54	188.5	1963-01-21
Lydia	3515.26	137.5	1963-01-22
Wayne	4744.97	202.8	1963-01-23
Kirk	3391.78	155.3	1963-01-24
Doris	3540.39	114.6	1963-01-25
Shana	4116.18	125.2	1963-01-26
Winston	3987.69	206.6	1963-01-27
Roxie	3763.52	230.6	1963-01-28
Darrell	3377.59	174.2	1963-01-29
Amanda	3201.93	212.1	1963-01-30
Jose	2874.21	204.2	1963-01-31
Constance	2608.94	193.4	1963-02-01
Bessie	2608.88	120.3	1963-02-02
Scott	3754.05	146.5	1963-02-03
Serena	4015.89	141.2	1963-02-04
Harvey	3008.75	163.2	1963-02-05
Michael	3616.12	240.5	1963-02-06
Anne	3499.74	114.8	1963-02-07
Adrian	3866.31	185.2	1963-02-08
Stephen	3998.96	182.2	1963-02-09
Manuel	4076.98	139.9	1963-02-10
Tina	3606.86	175.1	1963-02-11
Jacqueline	4209.56	167	1963-02-12
Jerry	3806.47	206.1	1963-02-13
Alex	3620.57	180.6	1963-02-14
Peggy	4143.15	172.5	1963-02-15
Charles	4065.40	163.2	1963-02-16
Mark	3508.47	250.4	1963-02-17
Michal	3386.55	139.3	1963-02-18
Lewis	4062.39	233.2	1963-02-19
Archie	3879.74	185	1963-02-20
Adrienne	3582.96	124.7	1963-02-21
Mary	3881.38	157.3	1963-02-22
Carly	3022.66	229.7	1963-02-23
Antoine	4047.09	200	1963-02-24
Michael	4305.78	240.2	1963-02-25
Alvin	4076.54	191.2	1963-02-26
Jeremy	2976.43	169.6	1963-02-27
Christopher	2662.38	231.7	1963-02-28
Victoria	4605.04	125.2	1963-03-01
Leigh	4753.95	187.9	1963-03-02
Tim	4173.87	220.4	1963-03-03
Marshall	3395.88	160.2	1963-03-04
Johnny	2138.49	225.3	1963-03-05
Nakita	2228.15	178	1963-03-06
Katie	4208.16	121.4	1963-03-07
Jack	3529.16	140.4	1963-03-08
Scott	4134.74	192.1	1963-03-09
Chad	4242.61	156.4	1963-03-10
Daniel	4299.62	179.1	1963-03-11
Ronald	4440.33	187.2	1963-03-12
Karen	3394.10	169.8	1963-03-13
George	4070.82	205.5	1963-03-14
Robert	3375.10	167.2	1963-03-15
Gerard	3372.23	196.9	1963-03-16
Richard	3917.17	238.5	1963-03-17
Dennis	3412.39	194.7	1963-03-18
Jennifer	4099.22	189.9	1963-03-19
Lindsey	3370.74	189.2	1963-03-20
Jean	3640.06	201.7	1963-03-21
James	3034.52	138.4	1963-03-22
Deborah	3533.77	208.8	1963-03-23
Margaret	4083.17	115.1	1963-03-24
Katrina	4535.82	174.7	1963-03-25
Warren	3758.89	150.9	1963-03-26
Kasey	3356.66	148.1	1963-03-27
Christopher	4067.48	182.8	1963-03-28
Genie	2807.04	172.3	1963-03-29
Susan	2834.83	138.4	1963-03-30
Walter	4143.59	235	1963-03-31
Robin	3550.45	228.6	1963-04-01
Taren	3007.70	155.5	1963-04-02
Sally	4186.32	227.3	1963-04-03
Calvin	3256.46	222	1963-04-04
Robert	3911.86	179.5	1963-04-05
Denise	3916.44	149.8	1963-04-06
Jeramy	3596.47	212.7	1963-04-07
James	3855.45	189.9	1963-04-08
David	3377.40	208.8	1963-04-09
Rosalind	3403.48	190.3	1963-04-10
Naomi	3399.35	207.2	1963-04-11
Jennie	3399.60	113.5	1963-04-12
Berry	2970.90	251.7	1963-04-13
David	4294.54	166.3	1963-04-14
Gerard	3368.90	146.7	1963-04-15
Melvin	4298.23	225.5	1963-04-16
Anthony	4013.07	171.4	1963-04-17
Maria	2946.42	112.6	1963-04-18
Matthew	2702.61	161.5	1963-04-19
Helen	3400.00	174	1963-04-20
Florence	4773.27	105.8	1963-04-21
Krista	4064.04	130.7	1963-04-22
Lorena	3807.78	156.4	1963-04-23
Michael	3391.65	141.9	1963-04-24
Justin	3910.10	213	1963-04-25
Latoya	3898.58	129.1	1963-04-26
Amy	3937.15	183.5	1963-04-27
Alex	4031.11	207.5	1963-04-28
Roger	3927.03	162.8	1963-04-29
Olga	3407.48	110.4	1963-04-30
Jeremy	4070.11	206.6	1963-05-01
Burl	3131.60	206.8	1963-05-02
Angelica	3895.04	166.5	1963-05-03
Daniel	3863.66	198.7	1963-05-04
Fred	4102.28	176	1963-05-05
Margaret	4493.92	173.4	1963-05-06
Kenneth	4070.30	195.4	1963-05-07
Margot	4056.58	185.2	1963-05-08
Timothy	4521.45	141.9	1963-05-09
Marcia	4071.37	117.7	1963-05-10
Mary	4066.73	135.7	1963-05-11
Mary	3396.09	168.1	1963-05-12
Ruth	4147.13	213.2	1963-05-13
Velma	4266.55	205	1963-05-14
Rhonda	4766.46	154.9	1963-05-15
Carmen	3948.32	191.2	1963-05-16
Fred	4017.74	181.1	1963-05-17
Elizabeth	3773.79	226.4	1963-05-18
Charlene	3719.22	111.5	1963-05-19
Lilly	3019.31	113.3	1963-05-20
Lana	2995.97	156.2	1963-05-21
Linda	3407.91	172	1963-05-22
Monique	3925.49	225.7	1963-05-23
Rachel	3935.60	141.7	1963-05-24
Tyrone	3343.66	189.2	1963-05-25
William	4086.68	235.2	1963-05-26
Cathy	4238.71	168.7	1963-05-27
Carmen	3887.07	162.8	1963-05-28
Audrey	4159.45	164.3	1963-05-29
Steve	3914.77	247.7	1963-05-30
Aaron	4365.11	157.3	1963-05-31
Dennis	3270.19	123.6	1963-06-01
Robert	3365.75	142.3	1963-06-02
Teri	2803.31	116.6	1963-06-03
Clarence	4444.29	159.5	1963-06-04
Geraldine	3973.66	171.8	1963-06-05
Aaron	3888.81	151.4	1963-06-06
Jessica	4080.40	152	1963-06-07
Michael	4178.00	181.5	1963-06-08
Stacia	3929.22	202.6	1963-06-09
Terri	3691.36	177.1	1963-06-10
Sharon	4073.74	112.6	1963-06-11
Dawn	4756.06	161.3	1963-06-12
Greg	4068.31	149.2	1963-06-13
Marco	-2203.60	165.9	1963-06-14
Brandon	4007.19	143	1963-06-15
Annie	4143.26	180.8	1963-06-16
Susie	4447.47	178.6	1963-06-17
Chris	3377.19	233	1963-06-18
Audrey	3415.17	157.3	1963-06-19
Minnie	4036.13	171.2	1963-06-20
Lavern	3238.44	198.7	1963-06-21
Linda	4095.38	143.2	1963-06-22
Andre	3411.62	157.1	1963-06-23
Amy	4743.23	200.4	1963-06-24
Ronald	4043.96	197.3	1963-06-25
Ernest	3391.21	144.5	1963-06-26
James	4245.53	201.3	1963-06-27
Caroline	3353.66	192.7	1963-06-28
Seth	4140.10	228.1	1963-06-29
William	4281.34	191.8	1963-06-30
Walter	4078.04	201.1	1963-07-01
Deborah	3091.08	198	1963-07-02
William	4664.76	244.4	1963-07-03
Sheila	3775.10	122.1	1963-07-04
Edith	4347.67	224	1963-07-05
Rose	3387.41	183.9	1963-07-06
Linda	3105.32	152.9	1963-07-07
Grace	4505.03	152.2	1963-07-08
Ella	3396.85	187.4	1963-07-09
Rolando	3283.08	140.6	1963-07-10
Frank	3859.26	192.1	1963-07-11
Mary	3413.98	142.1	1963-07-12
Stephanie	2967.63	216	1963-07-13
Ronald	3908.14	177.8	1963-07-14
Betty	4257.95	125	1963-07-15
Peter	3279.46	165.7	1963-07-16
Anne	3615.83	190.3	1963-07-17
Martha	4070.59	155.3	1963-07-18
Heather	3582.10	157.7	1963-07-19
Mary	4248.37	114.8	1963-07-20
Gary	4298.55	192.1	1963-07-21
Elena	3395.81	199.3	1963-07-22
Mary	3746.95	160.2	1963-07-23
Sue	4018.14	113.5	1963-07-24
Harold	3390.68	168.5	1963-07-25
Abraham	4074.66	169.8	1963-07-26
Steve	3919.87	204.6	1963-07-27
Jose	4379.58	181.9	1963-07-28
Mark	4215.54	230.8	1963-07-29
Aletha	4660.46	157.1	1963-07-30
Linda	4057.40	214.3	1963-07-31
James	2975.33	200.4	1963-08-01
Matthew	3662.39	132.4	1963-08-02
Leon	4303.83	180	1963-08-03
Rita	4236.62	156	1963-08-04
Prudence	4744.66	176.7	1963-08-05
James	4253.58	170.5	1963-08-06
Luis	4171.90	168.7	1963-08-07
Robert	4189.04	170.1	1963-08-08
Jack	4076.65	215.6	1963-08-09
Maria	3915.73	111.8	1963-08-10
Beth	2800.14	176	1963-08-11
Ethel	3641.86	205.9	1963-08-12
Allison	3674.90	228.1	1963-08-13
Jimmie	3220.53	172.9	1963-08-14
James	3379.18	196.7	1963-08-15
Freddy	3401.47	176.9	1963-08-16
Doris	3392.75	158	1963-08-17
Kenneth	3790.61	225.9	1963-08-18
Loretta	3868.86	219.6	1963-08-19
Jill	4241.86	163.7	1963-08-20
Donald	4431.61	254.1	1963-08-21
Cindy	4076.31	183.3	1963-08-22
Gary	3248.86	137.9	1963-08-23
Miguel	3316.73	211.4	1963-08-24
Kathleen	3798.67	145.4	1963-08-25
Jennie	4468.73	198.9	1963-08-26
Martha	4402.62	119.2	1963-08-27
Larry	3566.64	212.3	1963-08-28
Grace	4406.44	138.2	1963-08-29
David	2614.01	158	1963-08-30
Scott	3967.11	226.4	1963-08-31
Ramiro	3893.45	187	1963-09-01
Alene	4142.67	150.9	1963-09-02
Jacob	4230.15	232.1	1963-09-03
Ronald	2605.91	175.8	1963-09-04
Jimmy	4031.45	189.9	1963-09-05
Sanford	4336.17	183.7	1963-09-06
Dorothy	4292.76	165.2	1963-09-07
Allen	4001.02	171.2	1963-09-08
Jack	4080.93	175.1	1963-09-09
Billie	4304.06	119	1963-09-10
James	3575.01	175.1	1963-09-11
Susan	3409.24	134.6	1963-09-12
Mary	3781.55	167	1963-09-13
Jon	4302.90	174.2	1963-09-14
Mary	3516.23	151.8	1963-09-15
Frances	2797.70	204.2	1963-09-16
Walter	4125.90	159.7	1963-09-17
Robin	3088.49	152.9	1963-09-18
George	3409.09	235.2	1963-09-19
Mandy	4241.28	172.3	1963-09-20
Sarah	4747.74	202.4	1963-09-21
Debra	3969.92	131.8	1963-09-22
Garret	3068.02	184.6	1963-09-23
Terry	3078.54	158	1963-09-24
Mark	3973.31	152.5	1963-09-25
Mike	3597.44	249.3	1963-09-26
Lynn	3369.43	115.5	1963-09-27
Claude	3814.24	169.4	1963-09-28
Sam	3759.85	218.5	1963-09-29
Caroline	4173.82	187.4	1963-09-30
Kristin	2974.14	153.6	1963-10-01
Frederic	3394.56	192.7	1963-10-02
Jon	3281.44	179.7	1963-10-03
Dolores	4241.24	175.8	1963-10-04
Frank	3714.46	158.8	1963-10-05
Carlos	3347.34	199.5	1963-10-06
Julia	3422.64	117.5	1963-10-07
Rodney	3267.59	217.1	1963-10-08
Hector	3276.10	145.4	1963-10-09
Lee	2595.51	143.2	1963-10-10
John	3271.79	235.2	1963-10-11
Allan	4068.90	198.7	1963-10-12
Clifford	2632.80	158.6	1963-10-13
Leora	4002.47	116.4	1963-10-14
Bernice	4059.97	169.2	1963-10-15
Charles	4360.14	179.5	1963-10-16
Edward	3628.97	183.3	1963-10-17
Rosa	4260.73	213.2	1963-10-18
Gary	4114.85	123.4	1963-10-19
Shannon	3902.86	175.1	1963-10-20
Robert	2791.67	185	1963-10-21
Steven	3744.40	148.1	1963-10-22
Harold	3277.40	207.7	1963-10-23
Jacqueline	2135.16	143.2	1963-10-24
Rosemarie	2956.34	162.1	1963-10-25
Carissa	4198.74	151.8	1963-10-26
Daniel	3796.03	247.1	1963-10-27
Terry	3388.18	144.1	1963-10-28
Dorothy	3477.16	156.2	1963-10-29
Hilda	4229.54	155.5	1963-10-30
Jenna	3299.34	175.1	1963-10-31
Pamela	4244.81	162.6	1963-11-01
Nancy	4277.82	205.7	1963-11-02
James	4294.65	207.2	1963-11-03
Carolyn	2964.83	155.3	1963-11-04
Geraldine	3876.58	136.6	1963-11-05
Kenneth	3396.27	181.1	1963-11-06
Cynthia	4234.86	146.1	1963-11-07
Denise	3411.72	117	1963-11-08
Jessie	3871.10	115.9	1963-11-09
James	3481.32	193.6	1963-11-10
Alma	4294.65	232.8	1963-11-11
Quentin	3417.44	149.6	1963-11-12
Daniel	3384.89	145.6	1963-11-13
Melissa	3888.44	167.9	1963-11-14
Leland	4035.51	190.5	1963-11-15
Erik	3046.94	170.9	1963-11-16
Sandra	4127.22	173.1	1963-11-17
Donald	3408.40	158.2	1963-11-18
Craig	3492.44	140.1	1963-11-19
Brian	3734.22	245.7	1963-11-20
Bradley	4550.76	238.5	1963-11-21
Teresa	4015.82	194.5	1963-11-22
Tony	4040.92	213	1963-11-23
George	3814.58	213.6	1963-11-24
Ashley	3042.15	128.7	1963-11-25
Donald	3986.42	186.3	1963-11-26
William	3512.55	181.9	1963-11-27
Ana	3366.45	187.4	1963-11-28
Andrew	3273.81	156.6	1963-11-29
Joyce	2136.88	145.4	1963-11-30
Mary	4226.62	184.6	1963-12-01
Enrique	3519.12	165.4	1963-12-02
Marc	3537.80	183.5	1963-12-03
Nancy	4402.68	178	1963-12-04
Antonietta	4135.22	209.4	1963-12-05
Frank	3205.65	235	1963-12-06
Jerry	3224.94	239.4	1963-12-07
Nicole	3879.39	213.2	1963-12-08
Tina	3270.69	130.2	1963-12-09
Linnea	4103.97	219.1	1963-12-10
William	3009.94	139.5	1963-12-11
Jason	2658.53	156.2	1963-12-12
Jordan	4316.76	237.4	1963-12-13
Emilia	3989.31	204.6	1963-12-14
Erin	4301.89	139	1963-12-15
Edith	4232.23	165	1963-12-16
Deborah	4227.20	136.6	1963-12-17
Tanner	3516.01	209.2	1963-12-18
Helen	2995.84	183.3	1963-12-19
Rosa	3331.63	122.1	1963-12-20
Jose	4086.09	234.3	1963-12-21
Beth	3966.12	170.3	1963-12-22
Charles	3538.17	203.9	1963-12-23
Tammy	4128.11	132.7	1963-12-24
Harry	4136.66	201.5	1963-12-25
Vicky	3369.31	143.2	1963-12-26
Richard	4159.74	247.5	1963-12-27
Amos	3924.52	223.1	1963-12-28
Julie	4081.20	207	1963-12-29
James	4589.68	203.9	1963-12-30
Ann	3926.48	153.6	1963-12-31
Jennifer	4223.88	181.1	1964-01-01
John	4102.36	175.8	1964-01-02
Javier	3933.01	150.5	1964-01-03
Jeramy	3530.95	220.2	1964-01-04
Brandon	4559.51	236.9	1964-01-05
Maria	3975.14	154.4	1964-01-06
Matthew	3347.79	215.2	1964-01-07
Gordon	3366.94	234.7	1964-01-08
Sean	4562.70	215.6	1964-01-09
Todd	3002.27	242.2	1964-01-10
Evalyn	2825.85	152.7	1964-01-11
Vicente	3888.83	166.8	1964-01-12
Edward	3778.12	166.1	1964-01-13
Lindsey	4045.16	142.3	1964-01-14
Ross	3812.56	137.9	1964-01-15
Cheryl	4502.99	130.9	1964-01-16
William	3409.03	177.1	1964-01-17
Phyllis	3368.32	156	1964-01-18
Gary	3586.33	237.8	1964-01-19
Franklin	3999.94	181.1	1964-01-20
Patrick	2854.35	235.2	1964-01-21
Maribel	3718.21	201.1	1964-01-22
Travis	2983.86	138.6	1964-01-23
Timothy	4154.56	173.6	1964-01-24
Leona	4081.16	157.1	1964-01-25
Sheila	3991.02	167	1964-01-26
Kyle	4267.30	137.5	1964-01-27
Norma	4783.91	181.7	1964-01-28
John	3279.12	128.5	1964-01-29
Carl	3406.57	168.7	1964-01-30
Norman	4075.15	190.7	1964-01-31
Lisa	4769.97	175.6	1964-02-01
Felton	4270.28	181.5	1964-02-02
Paul	4356.49	143	1964-02-03
Karla	4291.64	168.3	1964-02-04
Billy	3824.82	185.2	1964-02-05
Larry	3408.92	171.6	1964-02-06
Gregory	4505.80	150.3	1964-02-07
Chester	3285.44	156.2	1964-02-08
Petrina	4078.73	124.5	1964-02-09
Barry	4449.84	225.3	1964-02-10
Colleen	3880.74	225.7	1964-02-11
Joseph	3980.70	185	1964-02-12
Myung	2694.48	122.8	1964-02-13
Arthur	3615.99	200.2	1964-02-14
Ruthie	4770.65	120.8	1964-02-15
Monica	3292.60	201.7	1964-02-16
Harry	3477.07	140.1	1964-02-17
Carolyn	3916.72	181.5	1964-02-18
Charles	4000.19	252.3	1964-02-19
Leon	3613.10	212.7	1964-02-20
Ashley	3721.51	209	1964-02-21
George	3986.01	178.9	1964-02-22
Carrie	3383.10	145	1964-02-23
Juanita	3284.24	173.8	1964-02-24
Eddie	4111.56	188.1	1964-02-25
Robert	3601.67	158	1964-02-26
Joaquin	4196.15	165	1964-02-27
Donna	4190.67	119.2	1964-02-28
Kelli	4338.86	180.4	1964-02-29
Pat	2802.06	215.2	1964-03-01
Lawrence	3952.03	193.8	1964-03-02
Gilbert	3960.70	213.2	1964-03-03
John	4198.27	197.1	1964-03-04
Travis	3199.92	212.7	1964-03-05
Curtis	3397.79	173.4	1964-03-06
Harley	3515.82	163	1964-03-07
Eva	2953.80	202.6	1964-03-08
Rebecca	4070.46	204.8	1964-03-09
Mary	4636.76	121.4	1964-03-10
Patricia	4107.03	144.8	1964-03-11
Melinda	2982.33	153.1	1964-03-12
Richard	3645.47	183.3	1964-03-13
Nathan	3239.40	216.7	1964-03-14
Terry	3789.25	229	1964-03-15
Denise	4072.66	102.5	1964-03-16
Nancy	3799.38	181.5	1964-03-17
Jose	4066.69	151.4	1964-03-18
William	4745.71	174.9	1964-03-19
Kelly	4237.67	204.6	1964-03-20
Nickie	3597.73	192.7	1964-03-21
Stanton	3574.68	130.7	1964-03-22
Antonio	4065.36	148.3	1964-03-23
James	3508.02	151.8	1964-03-24
John	3558.25	148.9	1964-03-25
Justin	3349.44	239.4	1964-03-26
Dominique	3405.47	230.3	1964-03-27
Norma	3681.94	183.5	1964-03-28
